module_list.69.batch_norm_69,darknet53.block_62to74.3.block.0.block.1
module_list.70.conv_70,darknet53.block_62to74.3.block.1.block.0
module_list.70.batch_norm_70,darknet53.block_62to74.3.block.1.block.1
module_list.72.conv_72,darknet53.block_62to74.4.block.0.block.0
module_list.72.batch_norm_72,darknet53.block_62to74.4.block.0.block.1
module_list.73.conv_73,darknet53.block_62to74.4.block.1.block.0
module_list.73.batch_norm_73,darknet53.block_62to74.4.block.1.block.1
module_list.75.conv_75,block_75to78.0.block.0
module_list.75.batch_norm_75,block_75to78.0.block.1
module_list.76.conv_76,block_75to78.1.block.0
module_list.76.batch_norm_76,block_75to78.1.block.1
module_list.77.conv_77,block_75to78.2.block.0
module_list.77.batch_norm_77,block_75to78.2.block.1
module_list.78.conv_78,block_75to78.3.block.0
module_list.78.batch_norm_78,block_75to78.3.block.1
module_list.79.conv_79,yoloBlock1.conv1.block.0
module_list.79.batch_norm_79,yoloBlock1.conv1.block.1
module_list.80.conv_80,yoloBlock1.block.0.block.0
module_list.80.batch_norm_80,yoloBlock1.block.0.block.1
module_list.81.conv_81,yoloBlock1.block.1
module_list.84.conv_84,upSampleBlock1.0.block.0
module_list.84.batch_norm_84,upSampleBlock1.0.block.1
module_list.87.conv_87,block_87to90.0.block.0
module_list.87.batch_norm_87,block_87to90.0.block.1
module_list.88.conv_88,block_87to90.1.block.0
module_list.88.batch_norm_88,block_87to90.1.block.1
module_list.89.conv_89,block_87to90.2.block.0
module_list.89.batch_norm_89,block_87to90.2.block.1
module_list.90.conv_90,block_87to90.3.block.0
module_list.90.batch_norm_90,block_87to90.3.block.1
module_list.91.conv_91,yoloBlock2.conv1.block.0
module_list.91.batch_norm_91,yoloBlock2.conv1.block.1
module_list.92.conv_92,yoloBlock2.block.0.block.0
module_list.92.batch_norm_92,yoloBlock2.block.0.block.1
module_list.93.conv_93,yoloBlock2.block.1
module_list.96.conv_96,upSampleBlock2.0.block.0
module_list.96.batch_norm_96,upSampleBlock2.0.block.1
module_list.99.conv_99,block_99to102.0.block.0
module_list.99.batch_norm_99,block_99to102.0.block.1
module_list.100.conv_100,block_99to102.1.block.0
module_list.100.batch_norm_100,block_99to102.1.block.1
module_list.101.conv_101,block_99to102.2.block.0
module_list.101.batch_norm_101,block_99to102.2.block.1
module_list.102.conv_102,block_99to102.3.block.0
module_list.102.batch_norm_102,block_99to102.3.block.1
module_list.103.conv_103,yoloBlock3.conv1.block.0
module_list.103.batch_norm_103,yoloBlock3.conv1.block.1
module_list.104.conv_104,yoloBlock3.block.0.block.0
module_list.104.batch_norm_104,yoloBlock3.block.0.block.1
module_list.105.conv_105,yoloBlock3.block.1
